site_name,site_address,site_city,site_state,site_zip,latitude,longitude,site_type
Adm Richard E Byrd Elem School,265 Wellington Ave,Elk Grove Village,IL,60007-3405,41.99661,-88.00919,Eligible School
Rupley Elem School,305 Oakton St,Elk Grove Village,IL,60007-1727,42.021717,-87.985436,Eligible School
John Jay Elem School,1835 W Pheasant Trl,Mount Prospect,IL,60056-4556,42.041633,-87.96576,Eligible School
Algonquin Middle School,767 E Algonquin Rd,Des Plaines,IL,60016-6251,42.030261,-87.905652,Eligible School
Plainfield Elem School,1850 Plainfield Dr,Des Plaines,IL,60018-2053,42.019115,-87.902541,Eligible School
Orchard Place Elem School,2727 Maple St,Des Plaines,IL,60018-3843,42.003844,-87.879113,Eligible School
North Elementary School,1789 Rand Rd,Des Plaines,IL,60016-3509,42.044111,-87.881179,Eligible School
Gemini Middle School,8955 N Greenwood Ave,Niles,IL,60714-1416,42.042401,-87.838735,Eligible School
Mark Twain Elem School,9401 N Hamlin Ave,Niles,IL,60714-5869,42.051887,-87.849722,Eligible School
V H Nelson Elem School,8901 N Ozanam Ave,Niles,IL,60714-1711,42.043647,-87.820433,Eligible School
Apollo Elem School,10100 Dee Rd,Des Plaines,IL,60016-1512,42.065168,-87.856653,Eligible School
Chute Middle School,1400 Oakton St,Evanston,IL,60202-2721,42.026489,-87.692431,Eligible School
Dr Bessie Rhodes Sch Global Studies,3701 Davis St,Skokie,IL,60076-1744,42.045942,-87.721901,Eligible School
Dawes Elementary School,440 Dodge Ave,Evanston,IL,60202-3254,42.025788,-87.699965,Eligible School
Oakton Elem School,436 Ridge Ave,Evanston,IL,60202-2861,42.026158,-87.685807,Eligible School
Park School,828 Main St,Evanston,IL,60202-1706,42.033796,-87.683283,Eligible School
Old Orchard Jr High School,9310 Kenton Ave,Skokie,IL,60076-1336,42.050908,-87.742994,Eligible School
Highland Elementary School,9700 Crawford Ave,Skokie,IL,60076-1106,42.057497,-87.728186,Eligible School
Devonshire Elem School,9040 Kostner Ave,Skokie,IL,60076-1657,42.045105,-87.737836,Eligible School
Madison Elem School,5100 Madison St,Skokie,IL,60077-2554,42.032321,-87.755207,Eligible School
Thomas Edison Elem School,8200 Gross Point Rd,Morton Grove,IL,60053-3534,42.030189,-87.765452,Eligible School
Nachusa Lutheran Childrens Home,PO Box 100,Nachusa,IL,61057-0100,41.831577,-89.38957,Eligible School
Palatine High School,1111 N Rohlwing Rd,Palatine,IL,60074-3777,42.132468,-88.021941,Eligible School
ChildBridge Center for Education,1760 W Algonquin Rd,Palatine,IL,60067-4791,42.083039,-88.084672,Eligible School
Little City Foundation - Foglia Home,1570 Little City Dr,Palatine,IL,,42.0858,-88.08523,Eligible School
Little City Foundation - Larry's Home,1580 Little City Dr,Palatine,IL,,42.0858,-88.08523,Eligible School
Little City Foundation - Pine Home,1630 Little City Dr,Palatine,IL,,42.084972,-88.084765,Eligible School
Little City Foundation - Coleman Home,1560 Little City Drive,Palatin,IL,,42.0858,-88.08523,Eligible School
Little City Foundation Marios Home,1550 Little City Dr.,Palatine,IL,,42.0858,-88.08523,Eligible School
Little City Foundation - SP,1645 Little City Dr,Palatine,IL,,42.08452,-88.084063,Eligible School
Little City Foundation - BI,1640 Little City Dr,Palatine,IL,,42.084604,-88.084796,Eligible School
Timber Ridge School,201 S Evanston Ave,Arlington Heights,IL,60004-6832,42.079685,-87.952188,Eligible School
Kirk School,520 S Plum Grove Rd,Palatine,IL,60067-6933,42.100856,-88.044744,Eligible School
West 40 Reg Safe Sch Middle Prg,605 N Hillside Ave,Hillside,IL,60162-1037,41.88091,-87.907806,Eligible School
Harbor Academy Reg Safe Sch Prg,605 N Hillside Ave,Hillside,IL,60162-1037,41.88091,-87.907806,Eligible School
John F Kennedy Elem School,3945 Wehrman Ave,Schiller Park,IL,60176-1814,41.95012,-87.877579,Eligible School
Lincoln Middle School,9750 Soreng Ave,Schiller Park,IL,60176-2105,41.951343,-87.869673,Eligible School
Washington Elem School,4835 Michigan Ave,Schiller Park,IL,60176-1111,41.966947,-87.868403,Eligible School
Roy Elem School,533 N Roy Ave,Northlake,IL,60164-1762,41.919025,-87.898408,Eligible School
Mannheim Middle School,2600 Hyde Park Ave,Melrose Park,IL,60164-1536,41.925397,-87.887899,Eligible School
Westdale Elem School,99 Diversey Ave,Northlake,IL,60164-1401,41.928491,-87.90618,Eligible School
Scott Elementary School,2250 Scott St,Melrose Park,IL,60164-2008,41.920439,-87.875229,Eligible School
Enger School,10401 Grand Ave,Franklin Park,IL,60131-2208,41.929655,-87.885537,Eligible School
Passow Elementary School,2838 Calwagner St,Franklin Park,IL,60131-2649,41.930368,-87.86784,Eligible School
Hester Jr High School,2836 Gustav St,Franklin Park,IL,60131-2905,41.930838,-87.866928,Eligible School
Dan H Pietrini Elem School,9750 Fullerton Ave,Franklin Park,IL,60131-3207,41.92238,-87.869386,Eligible School
Rhodes Elem School,8931 Fullerton Ave,River Grove,IL,60171-1810,41.921793,-87.846532,Eligible School
River Grove Elem School,2650 Thatcher Ave,River Grove,IL,60171-1650,41.928171,-87.836518,Eligible School
MacArthur Middle School,1310 N Wolf Rd,Berkeley,IL,60163-1220,41.890786,-87.903456,Eligible School
Sunnyside Intermediate School,5412 Saint Charles Rd,Berkeley,IL,60163-1244,41.889146,-87.903477,Eligible School
Whittier Primary School,338 Whitehall Ave,Northlake,IL,60164-1864,41.912455,-87.891666,Eligible School
Jefferson Primary School,225 46th Ave,Bellwood,IL,60104-1315,41.888602,-87.889533,Eligible School
J W Riley Intermediate School,123 S Wolf Rd,Northlake,IL,60164-2353,41.904475,-87.902782,Eligible School
Northlake Middle School,202 S Lakewood Ave,Northlake,IL,60164-2581,41.90336,-87.902055,Eligible School
Grant Primary,1801 N 36th Ave,Stone Park,IL,60165-1031,41.905762,-87.877307,Eligible School
Thurgood Marshall Elem School,2501 Oak St,Bellwood,IL,60104-1537,41.886134,-87.864253,Eligible School
Lincoln Elementary School,3420 Jackson St,Bellwood,IL,60104-2419,41.873996,-87.874851,Eligible School
McKinley Elem School,3317 Butterfield Rd,Bellwood,IL,60104-1450,41.885206,-87.874156,Eligible School
Grant Elem School,1300 N 34th Ave,Melrose Park,IL,60160-2835,41.898509,-87.875443,Eligible School
Roosevelt Middle School,2500 Oak St,Bellwood,IL,60104-1525,41.885268,-87.86457,Eligible School
Jane Addams Elem School,910 Division St,Melrose Park,IL,60160-2235,41.900455,-87.845381,Eligible School
Roosevelt Elem School,1927 S 15th Ave,Broadview,IL,60155-3005,41.8691,-87.850633,Eligible School
Washington Dual Language Academy,1111 Washington Blvd,Maywood,IL,60153-1559,41.882595,-87.846493,Eligible School
Emerson Elem School,311 Washington Blvd,Maywood,IL,60153-2154,41.882463,-87.837198,Eligible School
Garfield Elem School,1514 S 9th Ave,Maywood,IL,60153-1951,41.874164,-87.844107,Eligible School
Lincoln Elem School,811 Chicago Ave,Maywood,IL,60153-1172,41.893746,-87.843722,Eligible School
Irving Middle School,805 S 17th Ave,Maywood,IL,60153-1701,41.88025,-87.853572,Eligible School
Melrose Park Elem School,1715 W Lake St,Melrose Park,IL,60160-3818,41.892861,-87.854731,Eligible School
Stevenson Middle School,1630 N 20th Ave,Melrose Park,IL,60160-1904,41.903686,-87.858757,Eligible School
Forest Park Middle School,925 Beloit Ave,Forest Park,IL,60130-2301,41.869837,-87.812119,Eligible School
Lindop Elem School,2400 S 18th Ave,Broadview,IL,60155-3930,41.859655,-87.854394,Eligible School
Hillside Elem School,4804 Harrison St,Hillside,IL,60162-1601,41.870504,-87.903459,Eligible School
Jefferson Elem School,7035 16th St,Berwyn,IL,60402-1369,41.858145,-87.800833,Eligible School
Karel Havlicek Elem School,6401 15th St,Berwyn,IL,60402-1133,41.860165,-87.784398,Eligible School
Prairie Oak School,1427 Oak Park Ave,Berwyn,IL,60402-1229,41.861033,-87.79348,Eligible School
Lincoln Middle School,6432 16th St,Berwyn,IL,60402-1358,41.857515,-87.785589,Eligible School
Abe Lincoln Elem School,3545 S 61st Ave,Cicero,IL,60804-4145,41.828107,-87.775385,Eligible School
Columbus West Elementary School,5425 W 31st St,Cicero,IL,60804-3989,41.836287,-87.759843,Eligible School
District 99 Early Childhood Center,5330 W 35th St,Cicero,IL,60804-4409,41.829322,-87.757237,Eligible School
McKinley Elem School,5900 W 14th St,Cicero,IL,60804-1052,41.861993,-87.771569,Eligible School
Cicero East Elem School,3003 S 50Th Ct,Cicero,IL,60804-3514,41.838312,-87.750286,Eligible School
Columbus  East Elem School,3100 S 54th Ave,Cicero,IL,60804-3953,41.836305,-87.758589,Eligible School
Drexel Elem School,5407 W 36th St,Cicero,IL,60804-4432,41.827175,-87.758683,Eligible School
Liberty Elem School,4946 W 13th St,Cicero,IL,60804-1416,41.864151,-87.748718,Eligible School
Sherlock Elem School,5347 W 22nd Pl,Cicero,IL,60804-2805,41.850027,-87.757593,Eligible School
T Roosevelt Elem School,1500 S 50th Ave,Cicero,IL,60804-1544,41.860187,-87.749463,Eligible School
Warren Park School,1225 S 60th Ct,Cicero,IL,60804-1006,41.864986,-87.775343,Eligible School
Goodwin Elementary School,2625 S Austin Blvd,Cicero,IL,60804-3139,41.842586,-87.773156,Eligible School
Woodrow Wilson Elem School,2310 S 57th Ave,Cicero,IL,60804-2638,41.848677,-87.766453,Eligible School
Daniel Burnham Elem School,1630 S 59th Ave,Cicero,IL,60804-1742,41.857734,-87.771609,Eligible School
Cicero West Elementary School,4937 W 23rd St,Cicero,IL,60804-2433,41.849254,-87.747491,Eligible School
Unity Jr High School,2115 S 54th Ave,Cicero,IL,60804-2209,41.852055,-87.758878,Eligible School
Heritage Middle School,6850 31st St,Berwyn,IL,60402-3058,41.835647,-87.795401,Eligible School
Emerson Elem School,6850 31st St,Berwyn,IL,60402-3058,41.835647,-87.795401,Eligible School
Pershing Elem School,6537 37th St,Berwyn,IL,60402-4080,41.825353,-87.786945,Eligible School
Piper School,2435 Kenilworth Ave,Berwyn,IL,60402-2546,41.84551,-87.795299,Eligible School
Irving Elem School,3501 Clinton Ave,Berwyn,IL,60402-3324,41.828075,-87.7958,Eligible School
Freedom Middle School,3016 Ridgeland Ave,Berwyn,IL,60402-2700,41.836951,-87.7837,Eligible School
Hiawatha Elem School,6539 26th St,Berwyn,IL,60402-2637,41.843749,-87.787923,Eligible School
Komensky Elem School,2515 Cuyler Ave,Berwyn,IL,60402-2619,41.844577,-87.78176,Eligible School
Home Elem School,4400 Home Ave,Stickney,IL,60402-4316,41.811355,-87.797489,Eligible School
Lincoln Elem School,4300 Grove Ave,Brookfield,IL,60513-2580,41.812534,-87.841405,Eligible School
Edison Elem School,4100 Scoville Ave,Stickney,IL,60402-4428,41.817045,-87.78668,Eligible School
Costello School,4632 Clyde Ave,Lyons,IL,60534-1758,41.806871,-87.827964,Eligible School
Washington Middle School,8101 Ogden Ave,Lyons,IL,60534-1700,41.81718,-87.8251,Eligible School
J W Robinson Jr Elem School,4431 Gage Ave,Lyons,IL,60534-1929,41.810507,-87.81427,Eligible School
Ideal Elem School,9901 W 58th St,Countryside,IL,60525-5122,41.784513,-87.865726,Eligible School
Hodgkins Elem School,6516 Kane Ave,Hodgkins,IL,60525-7618,41.771755,-87.853394,Eligible School
J Sterling Morton West High Sch,2400 Home Ave,Berwyn,IL,60402-2110,41.846395,-87.799961,Eligible School
J Sterling Morton East High Sch,2423 S Austin Blvd,Cicero,IL,60804-2616,41.846451,-87.773069,Eligible School
J Sterling Morton Alternative Sch,1874 S 54th Ave,Cicero,IL,60804-1814,41.854982,-87.759259,Eligible School
J Sterling Morton Freshman Cntr,1801 S 55th Ave,Cicero,IL,60804-1819,41.855921,-87.761439,Eligible School
Proviso Math and Science Academy,8601 Roosevelt Rd,Forest Park,IL,60130-2532,41.865109,-87.832597,Eligible School
