"GEO_ID","NAME","S1602_C01_001E","S1602_C01_001M","S1602_C01_002E","S1602_C01_002M","S1602_C01_003E","S1602_C01_003M","S1602_C01_004E","S1602_C01_004M","S1602_C01_005E","S1602_C01_005M","S1602_C02_001E","S1602_C02_001M","S1602_C02_002E","S1602_C02_002M","S1602_C02_003E","S1602_C02_003M","S1602_C02_004E","S1602_C02_004M","S1602_C02_005E","S1602_C02_005M","S1602_C03_001E","S1602_C03_001M","S1602_C03_002E","S1602_C03_002M","S1602_C03_003E","S1602_C03_003M","S1602_C03_004E","S1602_C03_004M","S1602_C03_005E","S1602_C03_005M","S1602_C04_001E","S1602_C04_001M","S1602_C04_002E","S1602_C04_002M","S1602_C04_003E","S1602_C04_003M","S1602_C04_004E","S1602_C04_004M","S1602_C04_005E","S1602_C04_005M"
"id","Geographic Area Name","Estimate!!Total!!All households","Margin of Error!!Total!!All households","Estimate!!Total!!All households!!Households speaking --!!Spanish","Margin of Error!!Total!!All households!!Households speaking --!!Spanish","Estimate!!Total!!All households!!Households speaking --!!Other Indo-European languages","Margin of Error!!Total!!All households!!Households speaking --!!Other Indo-European languages","Estimate!!Total!!All households!!Households speaking --!!Asian and Pacific Island languages","Margin of Error!!Total!!All households!!Households speaking --!!Asian and Pacific Island languages","Estimate!!Total!!All households!!Households speaking --!!Other languages","Margin of Error!!Total!!All households!!Households speaking --!!Other languages","Estimate!!Percent!!All households","Margin of Error!!Percent!!All households","Estimate!!Percent!!All households!!Households speaking --!!Spanish","Margin of Error!!Percent!!All households!!Households speaking --!!Spanish","Estimate!!Percent!!All households!!Households speaking --!!Other Indo-European languages","Margin of Error!!Percent!!All households!!Households speaking --!!Other Indo-European languages","Estimate!!Percent!!All households!!Households speaking --!!Asian and Pacific Island languages","Margin of Error!!Percent!!All households!!Households speaking --!!Asian and Pacific Island languages","Estimate!!Percent!!All households!!Households speaking --!!Other languages","Margin of Error!!Percent!!All households!!Households speaking --!!Other languages","Estimate!!Limited English-speaking households!!All households","Margin of Error!!Limited English-speaking households!!All households","Estimate!!Limited English-speaking households!!All households!!Households speaking --!!Spanish","Margin of Error!!Limited English-speaking households!!All households!!Households speaking --!!Spanish","Estimate!!Limited English-speaking households!!All households!!Households speaking --!!Other Indo-European languages","Margin of Error!!Limited English-speaking households!!All households!!Households speaking --!!Other Indo-European languages","Estimate!!Limited English-speaking households!!All households!!Households speaking --!!Asian and Pacific Island languages","Margin of Error!!Limited English-speaking households!!All households!!Households speaking --!!Asian and Pacific Island languages","Estimate!!Limited English-speaking households!!All households!!Households speaking --!!Other languages","Margin of Error!!Limited English-speaking households!!All households!!Households speaking --!!Other languages","Estimate!!Percent limited English-speaking households!!All households","Margin of Error!!Percent limited English-speaking households!!All households","Estimate!!Percent limited English-speaking households!!All households!!Households speaking --!!Spanish","Margin of Error!!Percent limited English-speaking households!!All households!!Households speaking --!!Spanish","Estimate!!Percent limited English-speaking households!!All households!!Households speaking --!!Other Indo-European languages","Margin of Error!!Percent limited English-speaking households!!All households!!Households speaking --!!Other Indo-European languages","Estimate!!Percent limited English-speaking households!!All households!!Households speaking --!!Asian and Pacific Island languages","Margin of Error!!Percent limited English-speaking households!!All households!!Households speaking --!!Asian and Pacific Island languages","Estimate!!Percent limited English-speaking households!!All households!!Households speaking --!!Other languages","Margin of Error!!Percent limited English-speaking households!!All households!!Households speaking --!!Other languages"
"1600000US1719915","Dieterich village, Illinois","233","47","5","7","0","11","2","4","0","11","(X)","(X)","2.1","2.6","0.0","12.1","0.9","1.7","0.0","12.1","2","4","0","11","0","11","2","4","0","11","0.9","1.7","0.0","100.0","-","**","100.0","100.0","-","**"
"1600000US1720045","Divernon village, Illinois","498","66","10","12","0","11","0","11","0","11","(X)","(X)","2.0","2.4","0.0","5.8","0.0","5.8","0.0","5.8","0","11","0","11","0","11","0","11","0","11","0.0","5.8","0.0","90.1","-","**","-","**","-","**"
"1600000US1720123","Dix village, Illinois","232","34","4","5","0","11","2","4","0","11","(X)","(X)","1.7","2.2","0.0","12.1","0.9","1.5","0.0","12.1","2","3","2","3","0","11","0","11","0","11","0.9","1.3","50.0","50.0","-","**","0.0","100.0","-","**"
"1600000US1720149","Dixmoor village, Illinois","1191","143","333","116","9","15","0","11","0","11","(X)","(X)","28.0","9.3","0.8","1.3","0.0","2.5","0.0","2.5","31","36","31","36","0","11","0","11","0","11","2.6","2.9","9.3","10.6","0.0","95.0","-","**","-","**"
"1600000US1720162","Dixon city, Illinois","5699","274","187","86","74","64","44","39","0","18","(X)","(X)","3.3","1.5","1.3","1.1","0.8","0.7","0.0","0.5","46","39","37","36","0","18","9","12","0","18","0.8","0.7","19.8","17.9","0.0","32.0","20.5","30.8","-","**"
"1600000US1720292","Dolton village, Illinois","7860","278","70","41","95","47","57","41","95","45","(X)","(X)","0.9","0.5","1.2","0.6","0.7","0.5","1.2","0.6","22","20","9","14","6","10","7","10","0","21","0.3","0.3","12.9","18.6","6.3","10.2","12.3","21.4","0.0","26.5"
"1600000US1720305","Dongola village, Illinois","297","51","2","4","0","11","1","3","0","11","(X)","(X)","0.7","1.2","0.0","9.6","0.3","1.0","0.0","9.6","0","11","0","11","0","11","0","11","0","11","0.0","9.6","0.0","100.0","-","**","0.0","100.0","-","**"
"1600000US1720318","Donnellson village, Illinois","82","30","0","11","0","11","2","4","0","11","(X)","(X)","0.0","29.7","0.0","29.7","2.4","4.7","0.0","29.7","0","11","0","11","0","11","0","11","0","11","0.0","29.7","-","**","-","**","0.0","100.0","-","**"
"1600000US1720331","Donovan village, Illinois","94","20","3","5","0","11","0","11","0","11","(X)","(X)","3.2","4.8","0.0","26.8","0.0","26.8","0.0","26.8","0","11","0","11","0","11","0","11","0","11","0.0","26.8","0.0","100.0","-","**","-","**","-","**"
"1600000US1720370","Dorchester village, Illinois","55","15","0","11","1","2","0","11","0","11","(X)","(X)","0.0","38.4","1.8","3.6","0.0","38.4","0.0","38.4","0","11","0","11","0","11","0","11","0","11","0.0","38.4","-","**","0.0","100.0","-","**","-","**"
"1600000US1720526","Dover village, Illinois","49","19","0","11","0","11","0","11","0","11","(X)","(X)","0.0","40.7","0.0","40.7","0.0","40.7","0.0","40.7","0","11","0","11","0","11","0","11","0","11","0.0","40.7","-","**","-","**","-","**","-","**"
"1600000US1720565","Dowell village, Illinois","171","39","11","12","0","11","4","6","0","11","(X)","(X)","6.4","6.8","0.0","16.0","2.3","3.4","0.0","16.0","0","11","0","11","0","11","0","11","0","11","0.0","16.0","0.0","85.9","-","**","0.0","100.0","-","**"
"1600000US1720591","Downers Grove village, Illinois","20303","406","712","168","1719","226","746","163","108","64","(X)","(X)","3.5","0.8","8.5","1.1","3.7","0.8","0.5","0.3","580","189","84","56","324","142","148","68","24","24","2.9","0.9","11.8","7.5","18.8","7.6","19.8","7.7","22.2","23.6"
"1600000US1720643","Downs village, Illinois","356","46","7","8","1","2","2","3","0","11","(X)","(X)","2.0","2.1","0.3","0.7","0.6","0.9","0.0","8.1","0","11","0","11","0","11","0","11","0","11","0.0","8.1","0.0","100.0","0.0","100.0","0.0","100.0","-","**"
"1600000US1720890","Du Bois village, Illinois","78","24","0","11","4","4","0","11","0","11","(X)","(X)","0.0","30.9","5.1","5.4","0.0","30.9","0.0","30.9","0","11","0","11","0","11","0","11","0","11","0.0","30.9","-","**","0.0","100.0","-","**","-","**"
"1600000US1721098","Dunfermline village, Illinois","116","25","2","3","0","11","0","11","0","11","(X)","(X)","1.7","2.7","0.0","22.5","0.0","22.5","0.0","22.5","0","11","0","11","0","11","0","11","0","11","0.0","22.5","0.0","100.0","-","**","-","**","-","**"
"1600000US1721176","Dunlap village, Illinois","400","73","0","11","15","11","15","11","25","26","(X)","(X)","0.0","7.2","3.8","2.9","3.8","2.9","6.3","6.3","2","3","0","11","0","11","2","3","0","11","0.5","0.9","-","**","0.0","73.6","13.3","23.3","0.0","57.0"
"1600000US1721254","Dupo village, Illinois","1739","199","33","37","0","11","0","11","0","11","(X)","(X)","1.9","2.1","0.0","1.7","0.0","1.7","0.0","1.7","0","11","0","11","0","11","0","11","0","11","0.0","1.7","0.0","49.6","-","**","-","**","-","**"
"1600000US1721267","Du Quoin city, Illinois","2727","146","69","46","31","30","24","22","0","16","(X)","(X)","2.5","1.7","1.1","1.1","0.9","0.8","0.0","1.1","17","15","0","16","0","16","17","15","0","16","0.6","0.5","0.0","33.6","0.0","51.2","70.8","38.3","-","**"
"1600000US1721280","Durand village, Illinois","530","78","20","14","3","5","0","11","0","11","(X)","(X)","3.8","2.7","0.6","0.9","0.0","5.5","0.0","5.5","0","11","0","11","0","11","0","11","0","11","0.0","5.5","0.0","63.7","0.0","100.0","-","**","-","**"
"1600000US1721358","Dwight village, Illinois","1720","115","8","13","14","16","0","11","0","11","(X)","(X)","0.5","0.8","0.8","0.9","0.0","1.7","0.0","1.7","7","12","0","11","7","12","0","11","0","11","0.4","0.7","0.0","100.0","50.0","50.0","-","**","-","**"
